waitlist,program,tools,exp.Rmodeling,gender,primaryeditor,exp.Rgraphics,exp.Radvanced,exp.documentation,exp.Matlab,exp.Github,GitHub,Excel,SQL,RStudio,ggplot2,shell,C,Python,LaTeX,grep,Sweave,XML,Web,dropbox,googledrive,SPSS,Stata,R,number_tools,experience
No,MS IDSE,"R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,Confident,A little,A little,A little,None,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,True,True,9,7
No,Other Masters,"R, Excel, RStudio, ggplot2, regular expressions (grep), dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,A little,A little,False,True,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,7,7
No,Cert IDSE,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)",Expert,Male,Atom,Confident,Confident,Expert,Confident,Confident,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,15,14
No,MS IDSE,"Excel, Python, Web: html css js, dropbox, google drive (formerly docs)",None,Male,Sublime Text,None,None,None,None,None,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,5,0
No,MS IDSE,"R, SQL, RStudio, C/C++, Python, dropbox, google drive (formerly docs)",Confident,Male,TextWrangler,Confident,Confident,A little,None,None,False,False,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,True,7,7
No,MS IDSE,"Matlab, Github, RStudio, C/C++, Python, LaTeX",A little,Male,Sublime Text,None,None,A little,A little,A little,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,6,4
Yes,MS Stat,"Matlab, R, Github, Excel, RStudio, ggplot2, C/C++, Python, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,Confident,A little,None,Confident,Confident,True,True,False,True,True,False,True,True,False,False,False,False,False,True,True,False,False,True,10,9
No,QMSS,"Matlab, R, Excel, SQL, RStudio, C/C++, Python, Stata",A little,Unknown,Other,None,A little,A little,A little,None,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,8,4
No,MS IDSE,"Excel, SPSS, Python, Stata, dropbox, google drive (formerly docs)",None,Male,Stata,None,None,None,None,None,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,6,0
No,MS IDSE,"R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,None,Confident,None,A little,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,True,11,6
No,MS IDSE,"R, RStudio, Python, LaTeX, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,None,Confident,A little,None,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,6,6
No,MS IDSE,"R, RStudio, C/C++, Python, Stata, google drive (formerly docs)",Confident,Male,Rstudio,Confident,Confident,Confident,Confident,None,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,6,10
No,MS IDSE,"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), SPSS, Python, LaTeX, dropbox, google drive (formerly docs)",Expert,Male,Rstudio,Confident,Expert,Confident,Confident,Confident,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,True,13,14
Yes,MS Stat,"R, Github, SQL, RStudio, ggplot2, Python, dropbox, google drive (formerly docs)",Expert,Male,Rstudio,Confident,Confident,A little,None,Expert,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,8,11
Yes,MS Stat,"R, Excel, RStudio, Stata, dropbox",Confident,Female,Rstudio,None,A little,None,A little,A little,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,5,5
No,QMSS,"R, Excel, RStudio, ggplot2, SPSS, C/C++, Python, Stata, LaTeX, lattice, Sweave/knitr, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,Confident,A little,Expert,A little,A little,False,True,False,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,13,10
No,Other Masters,"Matlab, RStudio, SPSS, C/C++, Python, Stata",Confident,Female,Rstudio,Confident,A little,Confident,A little,A little,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,6,9
No,MS IDSE,"Matlab, R, Excel, RStudio, Python",Confident,Female,Rstudio,A little,A little,Confident,A little,None,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,5,7
No,MS Stat,"R, Excel, RStudio, Python, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,A little,A little,None,None,None,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,6,4
No,MS IDSE,"R, Excel, SQL, RStudio, ggplot2, Python, Stata, LaTeX, dropbox, google drive (formerly docs)",A little,Male,Rstudio,Confident,A little,Confident,None,None,False,True,True,True,True,False,False,True,True,False,False,False,False,True,True,False,True,True,10,6
No,MS IDSE,"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, SPSS, C/C++, Python, LaTeX, lattice, Sweave/knitr, dropbox, google drive (formerly docs)",Expert,Male,Rstudio,Confident,Confident,Expert,Confident,Confident,True,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True,15,14
No,MS IDSE,"Matlab, R, Excel, RStudio, SPSS, C/C++, Python, LaTeX, google drive (formerly docs)",Confident,Male,Rstudio,Confident,A little,A little,A little,A little,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,True,9,8
No,MS IDSE,"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, dropbox, google drive (formerly docs)",Confident,Male,Other,Confident,Confident,Confident,A little,Confident,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,False,False,True,12,11
Yes,MS Stat,"Matlab, R, RStudio",A little,Female,Rstudio,A little,Confident,A little,A little,None,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,6
No,MS IDSE,"R, RStudio, ggplot2, SPSS, Python, google drive (formerly docs)",Confident,Female,Rstudio,A little,A little,None,A little,None,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,6,5
Yes,MS Stat,"RStudio, ggplot2, Python, LaTeX",Confident,Female,Rstudio,A little,A little,Confident,None,None,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4,6
No,MS IDSE,"R, SQL, RStudio, ggplot2, shell (terminal / command line), SPSS, C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,notepad++,Confident,A little,A little,A little,Confident,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,13,9
No,MS IDSE,"R, RStudio, C/C++, Python",Confident,Male,Rstudio,A little,A little,Confident,A little,A little,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,4,8
Yes,MS Stat,"Matlab, R, Excel, RStudio, SPSS, C/C++, Stata",Confident,Male,Rstudio,A little,A little,None,A little,None,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,7,5
No,Cert IDSE,"R, Excel, RStudio, dropbox, google drive (formerly docs)",A little,Male,Other,A little,None,None,None,A little,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,5,3
No,QMSS,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Sublime Text,Confident,Confident,A little,A little,Confident,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,16,10
No,MS IDSE,"R, Excel, RStudio, ggplot2, Python, Stata, LaTeX, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,Confident,Confident,A little,A little,A little,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,True,9,9
No,Other Masters,"R, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,Confident,None,None,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,7,6
Yes,Other Masters,"Matlab, R, Github, Excel, Python, Web: html css js",Confident,Female,Xcode,Confident,A little,A little,Confident,Confident,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,6,10
No,MS IDSE,"Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, LaTeX, XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Sublime Text,Confident,A little,Expert,Confident,Confident,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,False,True,14,12
No,MS IDSE,"R, Github, SQL, RStudio, ggplot2, shell (terminal / command line), Python, regular expressions (grep), dropbox, google drive (formerly docs)",Confident,Male,vi/vim,Confident,A little,Expert,A little,Confident,True,False,True,True,True,True,False,True,False,True,False,False,False,True,True,False,False,True,10,11
No,MS IDSE,"Matlab, R, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, dropbox",Confident,Male,Rstudio,Confident,A little,A little,Confident,A little,False,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,9,9
No,MS IDSE,"R, Excel, SQL, RStudio, C/C++, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,None,None,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,7,5
No,Cert IDSE,"Matlab, R, Excel, SQL, RStudio, shell (terminal / command line), Python, Stata, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,None,None,Confident,None,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,True,True,10,5
Yes,MS Stat,"R, Excel, RStudio, LaTeX, google drive (formerly docs)",Confident,Female,Rstudio,Confident,Confident,None,A little,A little,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,5,8
No,MS IDSE,"R, Github, Excel, SQL, RStudio, ggplot2, Python, Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,Confident,Confident,A little,None,Confident,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,10,9
Yes,MS Stat,"Matlab, R, RStudio, SPSS, C/C++",Confident,Male,Rstudio,Confident,Confident,A little,Confident,A little,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,5,10
No,MS IDSE,"Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,Confident,Confident,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,10,9
No,MS IDSE,"Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,A little,Confident,Confident,True,True,False,True,True,True,False,True,True,False,False,False,False,False,True,False,False,True,10,9
Yes,MS Stat,"Matlab, R, Excel, RStudio, SPSS, C/C++",Expert,Female,Rstudio,Expert,Confident,A little,A little,A little,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,6,11
No,MS IDSE,"R, Github, RStudio, Python, dropbox, google drive (formerly docs)",A little,Male,Rstudio,A little,A little,A little,A little,A little,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,6,6
No,MS IDSE,"Matlab, R, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)",Expert,Male,Rstudio,Confident,Confident,A little,A little,None,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,8,9
Yes,MS Stat,"R, RStudio",Confident,Female,Rstudio,A little,A little,None,None,None,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,4
Yes,MS Stat,"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, C/C++, Python, XML, google drive (formerly docs)",Expert,Male,Rstudio,Confident,Expert,A little,Expert,Confident,True,True,True,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,11,14
No,MS IDSE,"R, Excel, SQL, RStudio, Python, Stata, google drive (formerly docs)",Confident,Female,Rstudio,Confident,Confident,A little,A little,None,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,7,8
No,MS IDSE,"Matlab, R, Excel, RStudio, Python, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,Confident,A little,None,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,7,7
No,MS IDSE,"Excel, Python, dropbox, google drive (formerly docs)",A little,Female,iPython,None,None,A little,None,None,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,4,2
No,Cert IDSE,"Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, XML, Web: html css js, dropbox, google drive (formerly docs)",A little,Male,vi/vim,A little,A little,None,A little,A little,True,True,True,True,False,True,False,True,False,False,False,True,True,True,True,False,False,True,12,5
No,MS IDSE,"R, Python",A little,Male,vi/vim,A little,A little,A little,A little,A little,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2,6
No,MS Stat,"R, RStudio, ggplot2, LaTeX",A little,Male,Rstudio,A little,None,None,None,None,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,4,2
No,MS IDSE,"Matlab, R, RStudio, SPSS, Sweave/knitr",Confident,Female,Rstudio,A little,A little,Confident,Confident,None,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,5,8
Yes,MS Stat,"R, Github, RStudio, LaTeX, dropbox, google drive (formerly docs)",A little,Male,Rstudio,A little,A little,A little,A little,A little,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,6,6
No,MS IDSE,"R, Excel, SQL, RStudio, shell (terminal / command line), Python, regular expressions (grep)",Confident,Male,notepad++,A little,A little,Confident,Confident,A little,False,True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,7,9
Yes,Other PhD,"Matlab, R, RStudio, ggplot2, dropbox",Confident,Male,Rstudio,Confident,A little,None,A little,None,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,5,6
No,MS IDSE,"R, Excel, RStudio, Python, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,A little,A little,A little,None,None,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,6,5
No,Cert IDSE,"R, SQL, RStudio, shell (terminal / command line), C/C++, Python, dropbox, google drive (formerly docs)",Confident,Male,Rstudio,A little,A little,Confident,A little,A little,False,False,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,True,8,8
Yes,MS Stat,"Matlab, R, Excel, SQL, RStudio, ggplot2, C/C++, Web: html css js, dropbox, google drive (formerly docs)",Expert,Male,Rstudio,Confident,Confident,Confident,Confident,A little,False,True,True,True,True,False,True,False,False,False,False,False,True,True,True,False,False,True,10,12
No,MS IDSE,"R, Github, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,vi/vim,A little,A little,None,None,Confident,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,12,6
No,Cert IDSE,"Matlab, R, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",Expert,Female,notepad++,Confident,A little,A little,A little,A little,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,True,14,9
No,MS IDSE,"R, Github, SQL, RStudio, shell (terminal / command line), C/C++, Python, LaTeX, regular expressions (grep), XML, dropbox, google drive (formerly docs)",Confident,Male,vi/vim,A little,A little,None,None,Confident,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,12,6
No,MS Stat,"Excel, Python, dropbox",A little,Male,vi/vim,None,None,None,None,A little,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,3,2
No,MS IDSE,"Matlab, R, RStudio, Python, LaTeX, google drive (formerly docs)",Confident,Female,Rstudio,A little,A little,None,A little,A little,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,6,6
No,MS IDSE,"Excel, google drive (formerly docs)",None,Female,vi/vim,None,None,None,A little,A little,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2,2
No,Cert IDSE,"R, Excel, SQL, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,A little,A little,Confident,None,A little,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,5,7
No,Cert IDSE,"Excel, Python, google drive (formerly docs)",None,Male,Other,None,None,None,None,None,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3,0
No,Cert IDSE,"Github, Excel, SQL, shell (terminal / command line), C/C++, Python, regular expressions (grep), google drive (formerly docs)",None,Male,vi/vim,None,None,None,None,Confident,True,True,True,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,8,2
No,MS IDSE,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), SPSS, Python, Stata, LaTeX, Sweave/knitr, Web: html css js, dropbox, google drive (formerly docs)",Expert,Male,Rstudio,Expert,Confident,Expert,Confident,Confident,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,15,15
No,Other PhD,"R, Github, Excel, SQL, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",A little,Male,vi/vim,A little,None,None,None,Confident,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,10,4
Yes,Other Masters,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), LaTeX, regular expressions (grep), Sweave/knitr, dropbox, google drive (formerly docs)",Expert,Male,Rstudio,A little,A little,A little,None,A little,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,False,True,12,7
No,Other Masters,"Github, shell (terminal / command line), C/C++, Python, LaTeX",None,Male,Sublime Text,None,None,A little,None,Confident,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,5,3
No,MS IDSE,"R, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, dropbox, google drive (formerly docs)",A little,Male,Rstudio,A little,A little,Confident,None,None,False,True,True,True,False,True,False,True,True,False,False,False,False,True,True,False,False,True,9,5
No,Cert IDSE,"Excel, Python, dropbox, google drive (formerly docs)",Confident,Male,Sublime Text,None,A little,None,A little,A little,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,4,5
No,MS IDSE,"R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",Confident,Female,Sublime Text,None,A little,Confident,None,Confident,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False,True,11,7
No,MS IDSE,"Matlab, R, Excel, RStudio, C/C++, Python",A little,Male,Rstudio,A little,A little,None,A little,None,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,6,4
Yes,Other Masters,"Matlab, Excel, C/C++, Python",A little,Male,TextWrangler,A little,A little,A little,A little,A little,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,4,6
Yes,MS Stat,"R, Github",A little,Female,Rstudio,None,None,None,None,A little,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,2
No,Other Masters,"R, Excel, RStudio, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,A little,A little,None,None,None,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,5,4
No,MS IDSE,"Github, Excel, SQL, RStudio, shell (terminal / command line), Python, Web: html css js, dropbox, google drive (formerly docs)",A little,Male,Atom,A little,A little,A little,A little,A little,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,False,False,9,6
No,MS IDSE,"Excel, RStudio, Python, dropbox, google drive (formerly docs)",A little,Male,Rstudio,A little,A little,A little,A little,None,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,5,5
No,MS IDSE,"Matlab, Github, Excel, SQL, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",None,Male,Other,None,None,None,Confident,A little,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,False,False,12,3
No,MS IDSE,"R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, Python, regular expressions (grep), XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,Female,Sublime Text,None,None,Confident,Confident,Confident,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,True,13,8
No,MS IDSE,"Matlab, R",A little,Male,Rstudio,None,None,None,A little,None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,2
No,Cert IDSE,"Github, Excel, SQL, dropbox, google drive (formerly docs)",None,Female,notepad++,None,None,None,None,A little,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,5,1
No,Cert IDSE,"Excel, shell (terminal / command line), Python, google drive (formerly docs)",None,Male,Sublime Text,None,None,None,None,A little,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,4,1
No,Cert IDSE,"R, Excel, RStudio, dropbox, google drive (formerly docs)",Confident,Female,Rstudio,A little,A little,Confident,None,A little,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,5,7
No,MS IDSE,"Matlab, R, Excel, RStudio, Python, dropbox",Confident,Female,Rstudio,A little,None,A little,None,A little,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,6,5
No,Cert IDSE,"Github, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)",A little,Male,Sublime Text,None,None,None,None,Confident,True,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,7,3
No,MS IDSE,"R, Github, Excel, SQL, RStudio, shell (terminal / command line), C/C++, LaTeX, regular expressions (grep), Sweave/knitr, XML, Web: html css js, dropbox, google drive (formerly docs)",A little,Male,Sublime Text,A little,A little,A little,None,Expert,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,False,True,14,7
No,Cert IDSE,"R, Github, Excel, RStudio, Python, google drive (formerly docs)",A little,Male,Other,A little,None,None,A little,A little,True,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,6,4
No,Cert IDSE,"SQL, shell (terminal / command line), C/C++, Python",A little,Male,vi/vim,None,None,None,A little,A little,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,4,3
No,Cert IDSE,"R, Excel, SQL, Python, Stata, LaTeX, Web: html css js, google drive (formerly docs)",A little,Male,notepad++,None,None,None,None,None,False,True,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,8,1
No,Other PhD,"R, Excel, RStudio, shell (terminal / command line), Python, Stata, regular expressions (grep), dropbox, google drive (formerly docs)",Confident,Female,TextMate,A little,A little,None,None,A little,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,9,5
No,Cert IDSE,"R, Excel, RStudio, ggplot2, Python, dropbox",Confident,Unknown,Rstudio,A little,A little,None,None,A little,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,6,5
No,Cert IDSE,"Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, Stata, XML, dropbox, google drive (formerly docs)",A little,Male,Sublime Text,A little,A little,A little,Confident,Confident,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,12,8
No,Cert IDSE,"shell (terminal / command line), Python, regular expressions (grep), Web: html css js",A little,Male,Webstorm,None,None,None,None,Expert,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,4,4
No,Other Masters,"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), Web: html css js, dropbox, google drive (formerly docs)",Confident,Male,Sublime Text,Confident,Confident,Confident,Confident,Confident,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,14,12
No,MS IDSE,"R, Excel, SQL, C/C++, dropbox, google drive (formerly docs)",A little,Male,notepad++,None,None,None,None,A little,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,6,2
No,Other Masters,"Matlab, R, Excel, SQL, RStudio, SPSS, Python, Stata, dropbox",Confident,Male,notepad++,Confident,Confident,Confident,Confident,A little,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,9,11
No,MS IDSE,"Matlab, R, Github, SQL, ggplot2, shell (terminal / command line), C/C++, Python, LaTeX, dropbox, google drive (formerly docs)",Confident,Male,Atom,A little,Confident,None,A little,Confident,True,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,11,8
No,MS IDSE,"R, Github, Excel, SQL, RStudio, Python",Confident,Male,Rstudio,A little,Confident,None,Confident,A little,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,6,8
No,MS IDSE,"R, SQL, RStudio, shell (terminal / command line), Python",A little,Male,TextWrangler,A little,None,None,None,None,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,5,2
No,Other Masters,"R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, lattice, Sweave/knitr",Confident,Male,Sublime Text,Confident,A little,Confident,None,A little,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,True,11,8
No,Cert IDSE,"R, Github, Excel, RStudio, regular expressions (grep), dropbox, google drive (formerly docs)",A little,Male,Rstudio,Confident,A little,Confident,A little,Confident,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,7,9
No,MS IDSE,"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, Stata, LaTeX, XML, Web: html css js, google drive (formerly docs)",Confident,Male,Rstudio,Confident,Confident,Confident,Confident,Confident,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,True,15,12
No,MS IDSE,"R, SQL, RStudio, Python",A little,Male,TextWrangler,A little,None,None,None,None,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,4,2
No,Other Masters,"R, Github, RStudio",A little,Female,Rstudio,A little,None,A little,None,A little,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,4
No,Cert IDSE,"Github, Excel, SQL, shell (terminal / command line), XML, Web: html css js",None,Female,Other,None,None,None,A little,A little,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,6,2
No,MS IDSE,Python,A little,Male,Sublime Text,A little,None,A little,None,A little,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,4
No,MS IDSE,"Matlab, SQL, shell (terminal / command line), Python, LaTeX, Web: html css js",Confident,Male,vi/vim,A little,A little,A little,Confident,A little,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,6,8
